X,Y
70,434
70,435
72,435
76,434
85,431
96,430
106,428
130,430
175,434
227,437
274,436
293,436
298,436
299,436
299,436
299,436
298,436
55,398
45,413
44,413
43,414
42,415
41,416
38,417
34,419
31,419
28,420
26,420
25,421
25,421
25,421
25,421
25,421
25,421
25,421
25,421
25,421
26,420
31,419
34,418
35,417
35,415
35,413
36,411
36,408
36,406
36,404
36,401
36,398
36,394
35,390
35,387
35,383
35,377
36,372
36,368
36,366
36,363
37,359
37,357
37,354
36,349
36,344
34,337
34,331
32,324
178,413
199,416
206,418
197,419
53,233
75,360
53,347
139,362
152,362
154,362
138,354
105,339
63,317
32,297
15,280
11,271
18,269
42,272
74,281
101,293
129,305
151,318
168,327
174,330
160,326
129,311
92,292
64,280
48,269
46,265
60,266
93,275
134,290
173,307
196,318
196,321
172,313
135,302
96,285
69,272
51,257
45,247
52,244
78,248
111,258
146,271
180,285
199,298
206,305
200,304
168,295
126,277
86,253
64,235
58,227
69,226
95,233
133,247
174,267
214,289
239,306
240,313
213,305
170,287
132,265
110,246
102,236
103,230
117,230
145,235
182,247
217,262
240,276
251,284
249,284
235,277
220,270
207,262
200,255
194,246
187,240
185,236
185,235
185,235
185,235
186,235
187,234
188,232
188,232
190,230
192,229
194,227
195,226
197,226
199,226
202,227
204,228
208,228
210,229
213,229
215,229
217,229
220,229
223,229
227,230
229,229
232,229
235,229
238,230
240,230
242,228
244,228
247,228
251,228
254,228
256,227
258,226
261,226
263,226
265,225
267,224
268,222
268,221
270,219
271,217
272,216
271,214
271,212
269,210
267,209
266,207
265,206
263,206
261,206
259,203
257,202
255,201
254,201
250,201
245,200
241,199
239,198
238,198
237,198
235,198
231,197
228,198
225,198
223,197
220,197
217,196
213,195
209,196
205,197
201,197
196,197
189,195
182,195
176,193
169,193
161,191
156,188
152,186
149,182
149,180
149,179
150,176
153,173
158,171
162,170
167,169
170,167
174,166
178,166
183,166
188,166
193,164
196,165
199,165
203,166
206,166
212,166
216,167
218,167
221,168
224,168
226,167
228,168
231,168
234,168
236,167
239,169
241,169
244,169
245,168
249,169
252,168
257,168
260,168
261,167
263,167
266,167
269,167
273,167
276,167
278,169
280,169
283,169
288,172
292,173
295,175
297,177
299,179
301,181
302,183
303,183
303,184
303,185
304,186
305,189
307,193
309,195
309,198
309,202
309,207
310,209
310,211
309,214
308,217
307,222
306,226
305,229
303,233
300,237
297,241
294,245
291,247
290,249
289,250
286,252
282,252
280,252
279,254
277,254
274,254
269,255
265,255
263,256
261,257
259,257
257,257
254,257
249,257
246,257
244,258
241,258
238,258
236,256
234,255
232,255
230,254
228,252
225,251
223,251
222,250
222,250
219,251
217,250
213,249
211,250
210,250
210,251
208,251
205,251
202,251
199,250
197,250
196,250
193,249
189,248
186,246
183,246
184,245
183,245
184,245
185,243
186,242
187,240
191,238
195,238
197,238
199,236
201,235
203,234
206,233
209,233
212,232
215,232
218,233
220,232
222,232
224,231
226,231
229,232
231,231
233,231
235,230
236,230
238,230
240,229
241,229
244,228
246,228
248,228
250,228
252,227
254,227
255,227
257,228
258,227
260,227
261,227
261,225
263,226
265,225
266,225
268,224
270,224
273,221
274,219
274,219
274,221
